"Author","MinRating","MaxRating","MedRating","AvgRating"
"1llusionmachine",2.9304395947667,2.99607365448528,2.96325662462599,2.96325662462599
"1nceGivenUp_NeverRegained",3.16996817399689,3.23451728351269,3.20224272875479,3.20224272875479
"2000pancakes",2.91645394854993,3.21669359916975,3.06657377385984,3.06657377385984
"20SomethingSuperHeroes",2.09342168516224,3.12580645813953,2.19312459835446,2.35028759101418
"21stCenturyBluestocking",1.23044892137827,2.3096301674259,1.77003954440209,1.77003954440209
"221B Bitch (UndeservingHero)",1.75587485567249,2.68663626926229,2.22125556246739,2.22125556246739
"221brothermine",3.08026562733984,3.08026562733984,3.08026562733984,3.08026562733984
"221bshrlocked",3.31618009889345,3.31618009889345,3.31618009889345,3.31618009889345
"222Ravens",2.54530711646582,3.36398782974849,3.20303288701471,3.01920381134591
"22alabaster",2.27875360095283,2.27875360095283,2.27875360095283,2.27875360095283
"23KatieMacpherson19",2.931457870689,2.931457870689,2.931457870689,2.931457870689
"23Murasaki",2.50242711998443,3.78074923110355,3.14158817554399,3.14158817554399
"2Hemi2",3.21801004298436,3.21801004298436,3.21801004298436,3.21801004298436
"2livenlove",2.5854607295085,3.47769992833213,3.21958452621425,3.09424839468496
"2manycharacters",2.19589965240923,2.19589965240923,2.19589965240923,2.19589965240923
"2manycrackficideas (toomanystoryideas)",1.98677173426624,1.98677173426624,1.98677173426624,1.98677173426624
"2ofpentacles",2.5327543789925,2.5327543789925,2.5327543789925,2.5327543789925
"2queer4here",2.39794000867204,2.39794000867204,2.39794000867204,2.39794000867204
"2short4astormtrooper",2.26481782300954,2.26481782300954,2.26481782300954,2.26481782300954
"2woodroses",2.42160392686983,2.64836001098093,2.53498196892538,2.53498196892538
"30026401",3.53655844257153,3.53655844257153,3.53655844257153,3.53655844257153
"300spartans",4.22541267286595,4.22541267286595,4.22541267286595,4.22541267286595
"382",1.17609125905568,2.65127801399814,2.45082177590315,2.24780058124445
"38Heroes",2.11394335230684,2.11394335230684,2.11394335230684,2.11394335230684
"3HobbitsInATrenchcoat",2.90687353472207,2.90687353472207,2.90687353472207,2.90687353472207
"3KidsInATrenchCoat",1.66275783168157,3.38309692994909,2.67836371575654,2.60064554828594
"400typesof_aloevera",1.38021124171161,1.38021124171161,1.38021124171161,1.38021124171161
"408_Request_Timeout",2.02938377768521,2.02938377768521,2.02938377768521,2.02938377768521
"425599167",3.22556771343947,3.5449357658815,3.26446348965767,3.32433673519715
"425anonymous",2.52374646681156,2.52374646681156,2.52374646681156,2.52374646681156
"46hasu (orphan_account)",3.16583762469013,3.16583762469013,3.16583762469013,3.16583762469013
"4AcesofSpades",2.16435285578444,2.54900326202579,2.35667805890511,2.35667805890511
"4ce_in_sp4ce",3.18582535961296,3.44529276942597,3.33605927786635,3.32239246896843
"4gardiean",2.46538285144842,3.41946007278607,3.38934331125208,3.09139541182886
"4hoots",2.58319877396862,3.62345604806993,3.2294258479207,3.24983379952003
"4persephone",3.15228834438306,3.44200915914095,3.297148751762,3.297148751762
"530_and_some_fandoms",2.91115760873998,2.91115760873998,2.91115760873998,2.91115760873998
"54worlds",2.49276038902684,3.15563963375978,2.6232492903979,2.73937834592544
"54yomi",2.7427251313047,2.7427251313047,2.7427251313047,2.7427251313047
"5ofSpades",2.89872518158949,3.88280904139244,3.26491144500642,3.29627186622928
"5wans_Kenobe",2.13033376849501,2.58319877396862,2.2542513925725,2.30550883190216
"5ximera5",0.903089986991944,0.903089986991944,0.903089986991944,0.903089986991944
"60sec400",2.90145832139611,3.32551566336315,3.2291697025391,3.15204789576612
"66chaoticMinds",1.17609125905568,1.81291335664286,1.49450230784927,1.49450230784927
"68legs",2.02118929906994,2.02118929906994,2.02118929906994,2.02118929906994
"6Starlight6",2.13033376849501,2.13033376849501,2.13033376849501,2.13033376849501
"6monthsfromnever",2.00860017176192,3.07809415040641,2.43395755243767,2.41670017179022
"743ish",3.30856441356124,3.30856441356124,3.30856441356124,3.30856441356124
"745sticky",3.53491410442987,3.53491410442987,3.53491410442987,3.53491410442987
"7Fanfer7",3.06781451116184,3.06781451116184,3.06781451116184,3.06781451116184
"7billionothersandme",3.26150077319828,3.41680687182294,3.33915382251061,3.33915382251061
"84dragons",3.24870873560092,3.24870873560092,3.24870873560092,3.24870873560092
"8at5am_Wh0_L4ugh5",1,1,1,1
"8bitluck",3.13735411137073,3.13735411137073,3.13735411137073,3.13735411137073
"8the_cat_chemist_doctor8",3.19506899646859,3.21085336531489,3.20296118089174,3.20296118089174
"9093008323",1.79239168949825,2.13987908640124,1.94939000664491,1.95909492698562
"93PenguinImperator",1.6232492903979,2.13672056715641,1.87998492877715,1.87998492877715
"99percentsure",2.04921802267018,2.04921802267018,2.04921802267018,2.04921802267018
"9tieth",2.71264970162721,2.71264970162721,2.71264970162721,2.71264970162721
"A Hot Pink Mess (HotPinkMess)",1.97772360528885,1.97772360528885,1.97772360528885,1.97772360528885
"A Magiluna Stormwriter (ariestess)",2.07918124604762,2.46389298898591,2.18150497136943,2.2265210444431
