"","author","total_posts","avg_posts_year","avg_posts_month","avg_posts_week","min_rating","max_rating","med_rating","avg_rating","min_word_count","max_word_count","avg_word_count","min_paragraph_count","max_paragraph_count","avg_paragraph_count","tag1","tag2","tag3","log_avg_rating"
"7678","Knight_of_Cookies",2,1,1,1,139,649,394,394,680,788,734,1,1,1,NA,NA,NA,5.97635090929793
"7679","knight_tracer",10,2.5,1.0625,1,176,5210,482.5,1026.33333333333,1032,8,1769.83333333333,1,5,1.33333333333333,NA,NA,NA,6.93374785925639
"7680","KnightApparent",4,1.33333333333333,1,1,48,3110,3067.5,2323.25,1112,256,1217,1,2,1.25,NA,NA,NA,7.75072234643745
"7681","KnightedRogue",3,3,1,1,542,796,642,660,1343,2635,2038.33333333333,1,1,1,NA,NA,NA,6.49223983502047
"7682","KnightJane",1,1,1,1,679,679,679,679,1930,1930,1930,1,1,1,NA,NA,NA,6.5206211275587
"7683","KnightofReylo",3,3,3,1,1011,3023,1363,1799,1694,5815,2622.66666666667,1,9,4.66666666666667,NA,NA,NA,7.49498623395053
"7684","KnightRadiant16",2,1,1,1,200,1066,633,633,1116,286,701,1,1,1,NA,NA,NA,6.45047042214418
"7685","knightshade",4,1.33333333333333,1,1,279,727,294,398.5,1725,900,1704.25,1,1,1,NA,NA,NA,5.98770749823027
"7686","knightsisicadanva",1,1,1,1,956,956,956,956,1165,1165,1165,1,1,1,NA,NA,NA,6.8627579130514
"7687","knightsofren",2,2,2,1,1191,2397,1558,1715.33333333333,1040,674,781,1,1,1,NA,NA,NA,7.44736270417358
"7688","Knill",1,1,1,1,129,129,129,129,1097,1097,1097,1,1,1,NA,NA,NA,4.85981240436167
"7689","Knitwritezombie (Missa_G)",6,3,1.5,1,483,15330,2287,3867.90909090909,1033,891,2687.81818181818,1,7,1.72727272727273,NA,NA,NA,8.26046935342964
"7690","Knitzkampf",22,3.14285714285714,1.14285714285714,1,60,1422,322.5,399.727272727273,1084,990,6021.27272727273,1,8,2.63636363636364,"Leia Organa & Luke Skywalker & Han SoloLeia Organa","Luke Skywalker","Han Solo",5.99078249638244
"7691","knives4cash",1,1,1,1,521,521,521,521,1153,1153,1153,1,1,1,NA,NA,NA,6.25575004175337
"7692","KnockAspect",1,1,1,1,7,23,15,15,150,483,316.5,1,1,1,NA,NA,NA,2.70805020110221
"7693","knockoffmulder",1,1,1,1,1770,1770,1770,1770,922,922,922,1,1,1,NA,NA,NA,7.47873482556787
"7694","knoxoursavior",3,1.5,1.5,1,1070,1858,1673,1533.66666666667,1045,1826,1380.66666666667,1,2,1.33333333333333,NA,NA,NA,7.33541666148736
"7695","Ko_te",2,2,1,1,696,1495,1095.5,1095.5,16780,4522,10651,1,7,4,"Ahsoka Tano","Luke Skywalker & Original Character(s)","Din Djarin/Luke Skywalker",6.99896615903552
"7696","Koala2001",1,1,1,1,213,213,213,213,0,0,0,1,1,1,NA,NA,NA,5.36129216570943
"7697","KoalaRen (Koala2001)",1,1,1,1,96,96,96,96,0,0,0,1,1,1,"Poe Dameron/Finn/ReyPoe Dameron","Finn (Star Wars)","Rey (Star Wars)Fanart",4.56434819146784
"7698","koalathebear",7,2.33333333333333,1.44444444444444,1,307,3894,1346,1704,100,685,1994.90909090909,1,2,1.09090909090909,NA,NA,NA,7.44073370738926
"7699","Kobo",19,19,2.375,1,283,4247,1550,1701.39024390244,1025,992,1692.43902439024,1,1,1,NA,NA,NA,7.43920098636667
"7700","Koga_Goshi",7,3.5,1,1,77,561,403,371.142857142857,194,667,332.285714285714,1,1,1,NA,NA,NA,5.91658704817523
"7701","koishiman42",1,1,1,1,242,242,242,242,904,904,904,1,1,1,NA,NA,NA,5.48893772615669
"7702","Kollega",1,1,1,1,254,254,254,254,3990,3990,3990,5,5,5,NA,NA,NA,5.53733426701854
"7703","komachimachiko",1,1,1,1,8,8,8,8,3205,3205,3205,1,1,1,NA,NA,NA,2.07944154167984
"7704","komet",1,1,1,1,3493,3493,3493,3493,3577,3577,3577,1,1,1,NA,NA,NA,8.15851624480683
"7705","Komfertinon",1,1,1,1,2193,2193,2193,2193,708,708,708,1,1,1,NA,NA,NA,7.69302574841789
"7706","Komissar",1,1,1,1,69,69,69,69,1182,1182,1182,1,1,1,"WTF","Din Djarin/Cobb VanthDin Djarin","Cobb Vanth",4.23410650459726
"7707","Kommandant4298",1,1,1,1,149,149,149,149,656,656,656,1,1,1,NA,NA,NA,5.00394630594546
